"ComputerName","DeviceId","Size","FreeSpace","PctFree","Date"
"MARADIAS","C:","496977854464","368810639360","74.210678815411","15/09/2019 13:46:26"
"MARADIAS","C:","496977854464","368810893312","74.2107299146698","15/09/2019 13:48:07"
